year;type;order;country;artist;title;language;position;score;maxpoints;voters
2017;finals;1;Israel;IMRI;"""I Feel Alive""";English;23;39;24;42
2017;finals;2;Poland;Kasia Mo?;"""Flashlight""";English;22;64;24;42
2017;finals;3;Belarus;Naviband;"""Story of My Life""";Belarusian;17;83;24;42
2017;finals;4;Austria;Nathan Trent;"""Running on Air""";English;16;93;24;42
2017;finals;5;Armenia;Artsvik;"""Fly with Me""";English;18;79;24;42
2017;finals;6;Netherlands;O'G3NE;"""Lights and Shadows""";English;11;150;24;42
2017;finals;7;Moldova;Sunstroke Project;"""Hey, Mamma!""";English;3;374;24;42
2017;finals;8;Hungary;Joci Pápai;"""Origo""";Hungarian;8;200;24;42
2017;finals;9;Italy;Francesco Gabbani;"""Occidentali's Karma""";Italian6;6;334;24;42
2017;finals;10;Denmark;Anja;"""Where I Am""";English;20;77;24;42
2017;finals;11;Portugal;Salvador Sobral;"""Amar Pelos Dois""";Portuguese;1;758;24;42
2017;finals;12;Azerbaijan;Dihaj;"""Skeletons""";English;14;120;24;42
2017;finals;13;Croatia;Jacques Houdek;"""My Friend""";English, Italian;13;128;24;42
2017;finals;14;Australia;Isaiah;"""Don't Come Easy""";English;9;173;24;42
2017;finals;15;Greece;Demy;"""This Is Love""";English;19;77;24;42
2017;finals;16;Spain;Manel Navarro;"""Do It for Your Lover""";Spanish, English;26;5;24;42
2017;finals;17;Norway;JOWST;"""Grab the Moment""5";English;10;158;24;42
2017;finals;18;United Kingdom;Lucie Jones;"""Never Give Up on You""";English;15;111;24;42
2017;finals;19;Cyprus;Hovig;"""Gravity""";English;21;68;24;42
2017;finals;20;Romania;Ilinca ft. Alex Florea;"""Yodel It!""";English;7;282;24;42
2017;finals;21;Germany;Levina;"""Perfect Life""";English;25;6;24;42
2017;finals;22;Ukraine;O.Torvald;"""Time""";English;24;36;24;42
2017;finals;23;Belgium;Blanche;"""City Lights""";English;4;363;24;42
2017;finals;24;Sweden;Robin Bengtsson;"""I Can't Go On""";English;5;344;24;42
2017;finals;25;Bulgaria;Kristian Kostov;"""Beautiful Mess""";English;2;615;24;42
2017;finals;26;France;Alma;"""Requiem""";French, English;12;135;24;42
2017;semifinals 1;1;Sweden;Robin Bengtsson;"""I Can't Go On""";English;3;227;24;21
2017;semifinals 1;2;Georgia;Tamara Gachechiladze;"""Keep the Faith""";English;11;99;24;21
2017;semifinals 1;3;Australia;Isaiah;"""Don't Come Easy""";English;6;160;24;21
2017;semifinals 1;4;Albania;Lindita;"""World""";English;14;76;24;21
2017;semifinals 1;5;Belgium;Blanche;"""City Lights""";English;4;165;24;21
2017;semifinals 1;6;Montenegro;Slavko Kalezi?;"""Space""";English;16;56;24;21
2017;semifinals 1;7;Finland;Norma John;"""Blackbird""";English;12;92;24;21
2017;semifinals 1;8;Azerbaijan;Dihaj;"""Skeletons""";English;8;150;24;21
2017;semifinals 1;9;Portugal;Salvador Sobral;"""Amar Pelos Dois""";Portuguese;1;370;24;21
2017;semifinals 1;10;Greece;Demy;"""This Is Love""";English;10;115;24;21
2017;semifinals 1;11;Poland;Kasia Mo?;"""Flashlight""";English;9;119;24;21
2017;semifinals 1;12;Moldova;Sunstroke Project;"""Hey, Mamma!""";English;2;291;24;21
2017;semifinals 1;13;Iceland;Svala;"""Paper""";English;15;60;24;21
2017;semifinals 1;14;Czech Republic;Martina Bárta;"""My Turn""";English;13;83;24;21
2017;semifinals 1;15;Cyprus;Hovig;"""Gravity""";English;5;164;24;21
2017;semifinals 1;16;Armenia;Artsvik;"""Fly with Me""";English;7;152;24;21
2017;semifinals 1;17;Slovenia;Omar Naber;"""On My Way""";English;17;36;24;21
2017;semifinals 1;18;Latvia;Triana Park;"""Line""";English;18;21;24;21
2017;semifinals 2;1;Serbia;Tijana Bogi?evi?;"""In Too Deep""";English;11;98;24;21
2017;semifinals 2;2;Austria;Nathan Trent;"""Running on Air""";English;7;147;24;21
2017;semifinals 2;3;Macedonia;Jana Bur?eska;"""Dance Alone""";English;15;69;24;21
2017;semifinals 2;4;Malta;Claudia Faniello;"""Breathlessly""";English;16;55;24;21
2017;semifinals 2;5;Romania;Ilinca ft. Alex Florea;"""Yodel It!""";English;6;174;24;21
2017;semifinals 2;6;Netherlands;O'G3NE;"""Lights and Shadows""";English;4;200;24;21
2017;semifinals 2;7;Hungary;Joci Pápai;"""Origo""";Hungarian;2;231;24;21
2017;semifinals 2;8;Denmark;Anja;"""Where I Am""";English;10;101;24;21
